# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Dec 17 11:29:45 2014
#
# CONSTRAINT:  where (pl_discmethod like '%Transit%'
# CONSTRAINT:  and pl_pnum > 1
# CONSTRAINT:  )
# CONSTRAINT:  order by pl_hostname asc, pl_orbper asc
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc.[AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc.[AU]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_dens,pl_orbincl,pl_ttvflag,pl_kepflag,st_mass,st_masserr,st_rad,st_raderr,pl_masse,pl_masseerr1,pl_masseerr2,pl_rads,pl_radserr1,pl_radserr2
1,TESTP3s,b,Transit,2,3.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,2.0,1.90000,-1.90000,0.012,0.001,-0.001
2,TESTP3s,c,Transit,2,6.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,1.0,0.0000001,-0.0000001,0.01,0.000001,-0.000001
1,TESTP3,b,Transit,2,3.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,3.0,1.90000,-1.90000,0.012,0.001,-0.001
2,TESTP3,c,Transit,2,6.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,1.0,0.0000001,-0.0000001,0.01,0.000001,-0.000001
1,TESTP3I,b,Transit,2,3.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,2.0,1.90000,-1.90000,0.01,0.001,-0.001
2,TESTP3I,c,Transit,2,6.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,4.0,0.0000001,-0.0000001,0.015,0.000001,-0.000001
1,TESTP3J,b,Transit,2,3.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,300.0,1.90000,-1.90000,0.1,0.001,-0.001
2,TESTP3J,c,Transit,2,6.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,100.0,0.0000001,-0.0000001,0.08,0.000001,-0.000001
1,TESTP5,b,Transit,2,5.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,3.0,13.90000,-13.90000,0.012,0.001,-0.001
2,TESTP5,c,Transit,2,10.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,1.0,0.0000001,-0.0000001,0.01,0.000001,-0.000001
1,TESTP10,b,Transit,2,10.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,5.0,1.90000,-1.90000,0.015,0.001,-0.001
2,TESTP10,c,Transit,2,20.1,,,,,,,,1,1,1.0,0.08,1.0,0.05,8.0,0.0000001,-0.0000001,0.01,0.000001,-0.000001
1,TESTP10J,b,Transit,2,10.0,,,,,,,,1,1,1.0,0.08,1.0,0.05,300.0,1.90000,-1.90000,0.1,0.001,-0.001
2,TESTP10J,c,Transit,2,20.6,,,,,,,,1,1,1.0,0.08,1.0,0.05,100.0,0.0000001,-0.0000001,0.08,0.000001,-0.000001
115,CoRoT-24,b,Transit,2,5.11340000,0.00060000,-0.00060000,0.056000,0.002000,-0.002000,0.90000,86.500,0,0,0.91,0.09,0.86,0.09,5.70000,,,0.034,0.004,-0.004
116,CoRoT-24,c,Transit,2,11.75900000,0.00630000,-0.00630000,0.098000,0.003000,-0.003000,1.30000,89.000,0,0,0.91,0.09,0.86,0.09,28.00000,11.00000,-11.00000,0.045,0.004,-0.004
99,CoRoT-7,b,Transit,2,0.85359163,0.00000058,-0.00000058,0.017016,0.000170,-0.000170,6.59000,80.780,0,0,0.91,0.02,0.82,0.02,4.73000,0.95000,-0.95000,0.015,0.001,-0.001
170,HAT-P-13,b,Transit,2,2.91625000,0.00001500,-0.00001500,,,,,83.400,1,0,1.22,0.05,1.56,0.08,270.46200,12.07700,-12.07700,0.131,0.007,-0.007
175,HAT-P-17,b,Transit,2,10.33852300,0.00000900,-0.00000900,0.088200,0.001400,-0.001400,0.64000,89.200,0,0,0.86,0.04,0.84,0.02,169.71000,5.72000,-5.72000,0.104,0.003,-0.003
203,HAT-P-44,b,Transit,2,4.30121900,0.00001900,-0.00001900,0.050700,0.000700,-0.000700,0.23000,89.100,0,0,0.94,0.04,0.95,0.08,111.87100,9.21700,-9.21700,0.128,0.011,-0.005
811,KOI-142,b,Transit,2,10.95416000,0.00011000,-0.00013000,,,,0.87000,89.055,1,1,0.96,0.04,0.88,0.03,8.70000,2.50000,-2.50000,0.035,0.004,-0.003
812,KOI-142,c,Transit Timing Variations,2,22.33950000,0.00190000,-0.00170000,0.155250,,,,86.200,0,1,0.96,0.04,0.88,0.03,198.80000,9.20000,-10.60000,,,
817,KOI-351,b,Transit,7,7.00815100,0.00001900,-0.00001900,0.074000,0.016000,-0.016000,,89.400,0,1,1.20,0.10,1.20,0.10,,,,0.012,0.002,-0.002
818,KOI-351,c,Transit,7,8.71937500,0.00002700,-0.00002700,0.089000,0.012000,-0.012000,,89.680,0,1,1.20,0.10,1.20,0.10,,,,0.011,0.001,-0.001
819,KOI-351,d,Transit,7,59.73667000,0.00038000,-0.00038000,0.320000,0.050000,-0.050000,,89.710,0,1,1.20,0.10,1.20,0.10,,,,0.026,0.003,-0.003
820,KOI-351,e,Transit,7,91.93913000,0.00073000,-0.00073000,0.420000,0.060000,-0.060000,,89.790,0,1,1.20,0.10,1.20,0.10,,,,0.024,0.003,-0.003
821,KOI-351,f,Transit,7,124.91440000,0.00190000,-0.00190000,0.480000,0.090000,-0.090000,,89.770,0,1,1.20,0.10,1.20,0.10,,,,0.026,0.005,-0.005
822,KOI-351,g,Transit,7,210.60697000,0.00043000,-0.00043000,0.710000,0.080000,-0.080000,,89.800,0,1,1.20,0.10,1.20,0.10,,,,0.074,0.007,-0.007
823,KOI-351,h,Transit,7,331.60059000,0.00037000,-0.00037000,1.010000,0.110000,-0.110000,,89.600,0,1,1.20,0.10,1.20,0.10,,,,0.104,0.009,-0.009
813,KOI-94,b,Transit,4,3.74320800,0.00001500,-0.00001500,0.051190,0.000670,-0.000670,10.10000,89.300,0,1,1.28,0.05,1.52,0.14,10.50000,4.60000,-4.60000,0.016,0.002,-0.002
814,KOI-94,c,Transit,4,10.42364800,0.00001600,-0.00001600,0.101300,0.001300,-0.001300,0.91000,88.360,1,1,1.28,0.05,1.52,0.14,15.60000,5.70000,-15.60000,0.040,0.004,-0.004
815,KOI-94,d,Transit,4,22.34298900,0.00000670,-0.00000670,0.168400,0.002200,-0.002200,0.36300,89.871,1,1,1.28,0.05,1.52,0.14,106.00000,11.00000,-11.00000,0.103,0.010,-0.010
816,KOI-94,e,Transit,4,54.32031000,0.00012000,-0.00012000,0.304600,0.004000,-0.004000,0.60000,89.760,1,1,1.28,0.05,1.52,0.14,35.00000,18.00000,-28.00000,0.060,0.006,-0.006
631,Kepler-10,b,Transit,2,0.83749070,0.00000020,-0.00000020,0.016850,0.000130,-0.000130,5.80000,84.800,0,1,0.91,0.02,1.06,0.01,3.33000,0.49000,-0.49000,0.013,0.000,0.000
632,Kepler-10,c,Transit,2,45.29430100,0.00004800,-0.00004800,,,,7.10000,89.590,1,1,0.91,0.02,1.06,0.01,17.20000,1.90000,-1.90000,0.022,0.001,0.000
837,Kepler-100,b,Transit,3,6.88705000,,,,,,14.25000,,0,1,1.08,0.06,1.49,0.04,7.34000,3.20000,-3.20000,0.012,0.000,0.000
838,Kepler-100,c,Transit,3,12.81590000,,,,,,0.35000,,0,1,1.08,0.06,1.49,0.04,0.85000,4.00000,-4.00000,0.020,0.001,-0.001
839,Kepler-100,d,Transit,3,35.33310000,,,,,,,,0,1,1.08,0.06,1.49,0.04,3.00000,,,0.015,0.001,-0.001
840,Kepler-101,b,Transit,2,3.48768120,0.00000700,-0.00000700,0.047400,0.001000,-0.000800,1.45000,85.820,0,1,1.17,0.07,1.56,0.20,51.10000,5.10000,-4.70000,0.053,0.008,-0.007
841,Kepler-101,c,Transit,2,6.02976000,0.00007500,-0.00007500,0.068400,0.001400,-0.001400,10.50000,84.600,0,1,1.17,0.07,1.56,0.20,3.78000,,,0.011,0.002,-0.002
842,Kepler-102,b,Transit,5,5.28696000,,,,,,23.29000,,0,1,0.81,0.04,0.76,0.07,0.41000,1.60000,-1.60000,0.004,0.000,0.000
843,Kepler-102,c,Transit,5,7.07142000,,,,,,,,0,1,0.81,0.04,0.76,0.07,3.00000,,,0.005,0.000,0.000
844,Kepler-102,d,Transit,5,10.31170000,,,,,,13.27000,,0,1,0.81,0.04,0.76,0.07,3.80000,1.80000,-1.80000,0.011,0.000,0.000
845,Kepler-102,e,Transit,5,16.14570000,,,,,,4.68000,,0,1,0.81,0.04,0.76,0.07,8.93000,2.00000,-2.00000,0.020,0.001,-0.001
846,Kepler-102,f,Transit,5,27.45360000,,,,,,4.92000,,0,1,0.81,0.04,0.76,0.07,0.62000,3.30000,-3.30000,0.008,0.000,0.000
847,Kepler-103,b,Transit,2,15.96540000,,,,,,1.38000,,0,1,1.09,0.07,1.44,0.04,9.70000,8.60000,-8.60000,0.031,0.001,-0.001
848,Kepler-103,c,Transit,2,179.61200000,,,,,,1.47000,,0,1,1.09,0.07,1.44,0.04,36.10000,25.20000,-25.20000,0.047,0.001,-0.001
849,Kepler-104,b,Transit,3,11.42754800,0.00001500,-0.00001500,0.094000,,,,,0,1,0.81,,1.35,0.22,,,,0.028,0.005,-0.005
850,Kepler-104,c,Transit,3,23.66820500,0.00005600,-0.00005600,0.153000,,,,,0,1,0.81,,1.35,0.22,,,,0.029,0.005,-0.005
851,Kepler-104,d,Transit,3,51.75539400,0.00016000,-0.00016000,0.257000,,,,,0,1,0.81,,1.35,0.22,,,,0.033,0.006,-0.006
852,Kepler-105,b,Transit,2,5.41220000,0.00002000,-0.00002000,0.066000,0.003000,-0.003000,,85.940,0,1,1.28,0.12,1.16,0.24,,,,0.044,0.014,-0.014
853,Kepler-105,c,Transit,2,7.12593900,0.00001700,-0.00001700,0.072000,,,,,0,1,1.28,0.12,1.16,0.24,,,,0.015,0.003,-0.003
854,Kepler-106,b,Transit,4,6.16486000,,,,,,1.26000,,0,1,1.00,0.06,1.04,0.17,0.15000,2.80000,-2.80000,0.007,0.001,-0.001
855,Kepler-106,c,Transit,4,13.57080000,,,,,,3.28000,,0,1,1.00,0.06,1.04,0.17,10.44000,3.20000,-3.20000,0.023,0.003,-0.003
856,Kepler-106,d,Transit,4,23.98020000,,,,,,,,0,1,1.00,0.06,1.04,0.17,8.10000,,,0.009,0.001,-0.001
857,Kepler-106,e,Transit,4,43.84450000,,,,,,3.10000,,0,1,1.00,0.06,1.04,0.17,11.17000,5.80000,-5.80000,0.024,0.003,-0.003
858,Kepler-107,b,Transit,4,3.17999700,0.00001100,-0.00001100,0.044000,,,,,0,1,,,1.41,0.05,,,,0.014,0.001,-0.001
859,Kepler-107,c,Transit,4,4.90142500,0.00001600,-0.00001600,0.059000,,,,,0,1,,,1.41,0.05,,,,0.017,0.002,-0.002
860,Kepler-107,d,Transit,4,7.95820300,0.00010400,-0.00010400,0.082000,,,,,0,1,,,1.41,0.05,,,,0.010,0.001,-0.001
861,Kepler-107,e,Transit,4,14.74904900,0.00003400,-0.00003400,0.123000,,,,,0,1,,,1.41,0.05,,,,0.032,0.002,-0.002
862,Kepler-108,b,Transit,2,49.18392100,0.00005400,-0.00005400,0.292000,,,,,0,1,0.87,,2.19,0.12,,,,0.079,0.004,-0.004
863,Kepler-108,c,Transit,2,190.32349400,0.00098800,-0.00098800,0.721000,,,,,0,1,0.87,,2.19,0.12,,,,0.075,0.005,-0.005
864,Kepler-109,b,Transit,2,6.48163000,,,,,,0.30000,,0,1,1.04,0.06,1.32,0.04,1.30000,5.40000,-5.40000,0.022,0.001,-0.001
865,Kepler-109,c,Transit,2,21.22270000,,,,,,0.65000,,0,1,1.04,0.06,1.32,0.04,2.22000,7.80000,-7.80000,0.023,0.001,-0.001
633,Kepler-11,b,Transit,6,10.30390000,0.00060000,-0.00100000,0.091000,0.001000,-0.001000,1.72000,89.640,1,1,0.95,0.10,1.10,0.10,1.90000,1.40000,-1.00000,0.017,0.000,-0.001
634,Kepler-11,c,Transit,6,13.02410000,0.00130000,-0.00080000,0.107000,0.001000,-0.001000,0.66000,89.590,1,1,0.95,0.10,1.10,0.10,2.90000,2.90000,-1.60000,0.026,0.001,-0.001
635,Kepler-11,d,Transit,6,22.68450000,0.00090000,-0.00090000,0.155000,0.001000,-0.001000,1.28000,89.670,1,1,0.95,0.10,1.10,0.10,7.30000,0.80000,-1.50000,0.029,0.001,-0.001
636,Kepler-11,e,Transit,6,31.99960000,0.00080000,-0.00120000,0.195000,0.002000,-0.002000,0.58000,88.890,1,1,0.95,0.10,1.10,0.10,8.00000,1.50000,-2.10000,0.038,0.001,-0.001
637,Kepler-11,f,Transit,6,46.68880000,0.00270000,-0.00320000,0.250000,0.002000,-0.002000,0.69000,89.470,1,1,0.95,0.10,1.10,0.10,2.00000,0.80000,-0.90000,0.023,0.000,-0.001
638,Kepler-11,g,Transit,6,118.38070000,0.00100000,-0.00060000,0.466000,0.004000,-0.004000,4.00000,89.870,1,1,0.95,0.10,1.10,0.10,25.00000,,,0.030,0.001,-0.001
866,Kepler-110,b,Transit,2,12.69111200,0.00003600,-0.00003600,0.107000,,,,,0,1,,,1.15,0.23,,,,0.017,0.003,-0.003
867,Kepler-110,c,Transit,2,31.71977500,0.00010400,-0.00010400,0.198000,,,,,0,1,,,1.15,0.23,,,,0.020,0.004,-0.004
868,Kepler-111,b,Transit,2,3.34181500,0.00000600,-0.00000600,0.046000,,,,,1,1,,,1.16,0.14,,,,0.015,0.002,-0.002
869,Kepler-111,c,Transit,2,224.78460800,0.00041100,-0.00041100,0.761000,,,,,1,1,,,1.16,0.14,,,,0.067,0.008,-0.008
870,Kepler-112,b,Transit,2,8.40887800,0.00001000,-0.00001000,0.076000,,,,,0,1,,,0.84,0.20,,,,0.022,0.005,-0.005
871,Kepler-112,c,Transit,2,28.57426300,0.00006000,-0.00006000,0.172000,,,,,0,1,,,0.84,0.20,,,,0.022,0.005,-0.005
872,Kepler-113,b,Transit,2,4.75400000,,,,,,10.73000,,0,1,0.75,0.06,0.69,0.02,11.70000,4.20000,-4.20000,0.017,0.001,-0.001
873,Kepler-113,c,Transit,2,8.92507000,,,,,,,,0,1,0.75,0.06,0.69,0.02,8.70000,,,0.020,0.001,-0.001
874,Kepler-114,b,Transit,3,5.18854900,0.00001200,-0.00001200,0.053000,,,,,0,1,0.56,0.06,0.67,0.04,,,,0.012,0.001,-0.001
875,Kepler-114,c,Transit,3,8.04100000,,,,,,,,1,1,0.56,0.06,0.67,0.04,2.80000,0.60000,-0.60000,0.015,0.002,-0.002
876,Kepler-114,d,Transit,3,11.77600000,,,,,,,,1,1,0.56,0.06,0.67,0.04,3.90000,1.70000,-1.70000,0.023,0.003,-0.003
877,Kepler-115,b,Transit,2,2.40367900,0.00001200,-0.00001200,0.036000,,,,,0,1,1.00,,1.21,0.23,,,,0.010,0.002,-0.002
878,Kepler-115,c,Transit,2,8.99088900,0.00002100,-0.00002100,0.087000,,,,,0,1,1.00,,1.21,0.23,,,,0.024,0.005,-0.005
879,Kepler-116,b,Transit,2,5.96873400,0.00000900,-0.00000900,0.069000,,,,,0,1,1.16,,1.45,0.27,,,,0.031,0.006,-0.006
880,Kepler-116,c,Transit,2,13.07163000,0.00005600,-0.00005600,0.116000,,,,,0,1,1.16,,1.45,0.27,,,,0.021,0.004,-0.004
881,Kepler-117,b,Transit,2,18.79592280,0.00000750,-0.00000750,0.144500,0.004700,-0.001400,0.30000,88.740,0,1,1.13,0.13,1.61,0.05,29.87500,10.48800,-10.48800,0.074,0.002,-0.002
882,Kepler-117,c,Transit,2,50.79039100,0.00001400,-0.00001400,0.280400,0.009200,-0.002800,1.74000,89.640,0,1,1.13,0.13,1.61,0.05,584.78000,57.21000,-57.21000,0.113,0.004,-0.004
883,Kepler-118,b,Transit,2,7.51849600,0.00005600,-0.00005600,0.073000,,,,,0,1,0.86,,1.09,0.49,,,,0.018,0.009,-0.009
884,Kepler-118,c,Transit,2,20.17202000,0.00001300,-0.00001300,0.141000,,,,,0,1,0.86,,1.09,0.49,,,,0.070,0.032,-0.032
885,Kepler-119,b,Transit,2,2.42208200,0.00000100,-0.00000100,0.035000,,,,,0,1,,,0.84,0.32,,,,0.033,0.013,-0.013
886,Kepler-119,c,Transit,2,4.12510300,0.00002800,-0.00002800,0.049000,,,,,0,1,,,0.84,0.32,,,,0.008,0.003,-0.003
887,Kepler-120,b,Transit,2,6.31250100,0.00000800,-0.00000800,0.055000,,,,,0,1,,,0.53,0.03,,,,0.020,0.002,-0.002
888,Kepler-120,c,Transit,2,12.79458500,0.00004400,-0.00004400,0.088000,,,,,0,1,,,0.53,0.03,,,,0.014,0.001,-0.001
889,Kepler-121,b,Transit,2,3.17742200,0.00000300,-0.00000300,0.039000,,,,,0,1,,,0.70,0.38,,,,0.021,0.012,-0.012
890,Kepler-121,c,Transit,2,41.00801100,0.00019100,-0.00019100,0.216000,,,,,0,1,,,0.70,0.38,,,,0.021,0.011,-0.011
891,Kepler-122,b,Transit,5,5.76619300,0.00001600,-0.00001600,0.064000,,,,,0,1,0.99,,1.22,0.24,,,,0.021,0.004,-0.004
892,Kepler-122,c,Transit,5,12.46598800,0.00000900,-0.00000900,0.108000,,,,,0,1,0.99,,1.22,0.24,,,,0.054,0.011,-0.011
893,Kepler-122,d,Transit,5,21.58747500,0.00016400,-0.00016400,0.155000,,,,,0,1,0.99,,1.22,0.24,,,,0.020,0.004,-0.004
894,Kepler-122,e,Transit,5,37.99327300,0.00039000,-0.00039000,0.227000,,,,,1,1,0.99,,1.22,0.24,,,,0.024,0.005,-0.005
